conference,team,tm_link,year
Sun Belt (West),Denver,denver,2008.0
Pac-10,Oregon State,oregon-state,2008.0
Summit,Southern Utah,southern-utah,2008.0
Horizon,Detroit Mercy,detroit-mercy,2008.0
Ivy,Yale,yale,2008.0
AEC,Boston University,boston-university,2008.0
MAAC,Iona,iona,2008.0
Big Sky,Montana State,montana-state,2008.0
AEC,Binghamton,binghamton,2008.0
Patriot,Bucknell,bucknell,2008.0
OVC,Tennessee State,tennessee-state,2008.0
Summit,Missouri-Kansas City,missouri-kansas-city,2008.0
NEC,Wagner,wagner,2008.0
WCC,San Francisco,san-francisco,2008.0
Sun Belt (East),Troy,troy,2008.0
Big Sky,Northern Colorado,northern-colorado,2008.0
MWC,Colorado State,colorado-state,2008.0
Sun Belt (East),Florida International,florida-international,2008.0
CAA,Towson,towson,2008.0
Big Sky,Eastern Washington,eastern-washington,2008.0
CAA,Georgia State,georgia-state,2008.0
CAA,Drexel,drexel,2008.0
SWAC,Alabama State,alabama-state,2008.0
Patriot,Lehigh,lehigh,2008.0
Sun Belt (West),Arkansas State,arkansas-state,2008.0
OVC,Tennessee Tech,tennessee-tech,2008.0
MAAC,Manhattan,manhattan,2008.0
WCC,Pepperdine,pepperdine,2008.0
NEC,Quinnipiac,quinnipiac,2008.0
A-Sun,Jacksonville,jacksonville,2008.0
Southern (North),Western Carolina,western-carolina,2008.0
OVC,Tennessee-Martin,tennessee-martin,2008.0
Sun Belt (West),Louisiana-Monroe,louisiana-monroe,2008.0
CUSA,Southern Methodist,southern-methodist,2008.0
Ivy,Columbia,columbia,2008.0
Patriot,Army,army,2008.0
WCC,Portland,portland,2008.0
AEC,Hartford,hartford,2008.0
Southland (East),Nicholls State,nicholls-state,2008.0
WAC,San Jose State,san-jose-state,2008.0
Southland (West),Texas A&M-Corpus Christi,texas-am-corpus-christi,2008.0
MAC (West),Northern Illinois,northern-illinois,2008.0
Southland (East),McNeese State,mcneese-state,2008.0
Big West,Cal Poly,cal-poly,2008.0
Big South,Virginia Military Institute,virginia-military-institute,2008.0
OVC,Eastern Kentucky,eastern-kentucky,2008.0
Southland (West),Texas State,texas-state,2008.0
A-Sun,Mercer,mercer,2008.0
AEC,New Hampshire,new-hampshire,2008.0
MAAC,Saint Peter's,saint-peters,2008.0
CUSA,Rice,rice,2008.0
Ivy,Pennsylvania,pennsylvania,2008.0
Southland (West),Texas-San Antonio,texas-san-antonio,2008.0
Summit,Western Illinois,western-illinois,2008.0
Ind,Texas-Pan American,texas-pan-american,2008.0
Ind,Chicago State,chicago-state,2008.0
Big West,California-Riverside,california-riverside,2008.0
WAC,Idaho,idaho,2008.0
Ivy,Harvard,harvard,2008.0
Summit,Centenary (LA),centenary-la,2008.0
Southland (East),Northwestern State,northwestern-state,2008.0
OVC,Morehead State,morehead-state,2008.0
Ivy,Princeton,princeton,2008.0
A-Sun,Stetson,stetson,2008.0
MEAC,Delaware State,delaware-state,2008.0
Big South,Coastal Carolina,coastal-carolina,2008.0
A-Sun,Campbell,campbell,2008.0
OVC,Samford,samford,2008.0
Big Sky,Idaho State,idaho-state,2008.0
AEC,Stony Brook,stony-brook,2008.0
NEC,St. Francis (NY),st-francis-ny,2008.0
Southern (South),Furman,furman,2008.0
Big West,Long Beach State,long-beach-state,2008.0
NEC,Monmouth,monmouth,2008.0
NEC,Fairleigh Dickinson,fairleigh-dickinson,2008.0
NEC,Saint Francis (PA),saint-francis-pa,2008.0
MEAC,Norfolk State,norfolk-state,2008.0
OVC,Southeast Missouri State,southeast-missouri-state,2008.0
MAAC,Canisius,canisius,2008.0
MEAC,Coppin State,coppin-state,2008.0
Ivy,Dartmouth,dartmouth,2008.0
MEAC,North Carolina A&T,north-carolina-at,2008.0
OVC,Eastern Illinois,eastern-illinois,2008.0
Big South,Radford,radford,2008.0
Big West,California-Davis,california-davis,2008.0
Big South,Charleston Southern,charleston-southern,2008.0
SWAC,Mississippi Valley State,mississippi-valley-state,2008.0
OVC,Jacksonville State,jacksonville-state,2008.0
WAC,Louisiana Tech,louisiana-tech,2008.0
MEAC,Florida A&M,florida-am,2008.0
MEAC,South Carolina State,south-carolina-state,2008.0
MEAC,Bethune-Cookman,bethune-cookman,2008.0
SWAC,Southern,southern,2008.0
SWAC,Alabama A&M,alabama-am,2008.0
SWAC,Jackson State,jackson-state,2008.0
Ind,Savannah State,savannah-state,2008.0
AEC,Maine,maine,2008.0
WCC,Loyola Marymount,loyola-marymount,2008.0
Southern (South),Citadel,citadel,2008.0
Big Sky,Sacramento State,sacramento-state,2008.0
SWAC,Arkansas-Pine Bluff,arkansas-pine-bluff,2008.0
Ind,Longwood,longwood,2008.0
SWAC,Texas Southern,texas-southern,2008.0
SWAC,Prairie View,prairie-view,2008.0
MEAC,Howard,howard,2008.0
SWAC,Alcorn State,alcorn-state,2008.0
SWAC,Grambling,grambling,2008.0
MEAC,Maryland-Eastern Shore,maryland-eastern-shore,2008.0
ACC,North Carolina,north-carolina,2009.0
Big East,Connecticut,connecticut,2009.0
Big East,Pittsburgh,pittsburgh,2009.0
CUSA,Memphis,memphis,2009.0
Big East,Louisville,louisville,2009.0
ACC,Duke,duke,2009.0
Big 12,Missouri,missouri,2009.0
Pac-10,UCLA,ucla,2009.0
Big East,West Virginia,west-virginia,2009.0
Big 12,Oklahoma,oklahoma,2009.0
Big 12,Kansas,kansas,2009.0
WCC,Gonzaga,gonzaga,2009.0
Big Ten,Michigan State,michigan-state,2009.0
Big East,Villanova,villanova,2009.0
Big East,Syracuse,syracuse,2009.0
Pac-10,Washington,washington,2009.0
Pac-10,Arizona State,arizona-state,2009.0
Big Ten,Purdue,purdue,2009.0
ACC,Wake Forest,wake-forest,2009.0
ACC,Clemson,clemson,2009.0
MWC,Brigham Young,brigham-young,2009.0
Big East,Marquette,marquette,2009.0
Big 12,Texas,texas,2009.0
A-10,Xavier,xavier,2009.0
Big East,Georgetown,georgetown,2009.0
Big Ten,Illinois,illinois,2009.0
Pac-10,Southern California,southern-california,2009.0
Big 12,Oklahoma State,oklahoma-state,2009.0
SEC (East),Tennessee,tennessee,2009.0
Pac-10,California,california,2009.0
SEC (East),Florida,florida,2009.0
SEC (East),Kentucky,kentucky,2009.0
MWC,Utah,utah,2009.0
Big 12,Baylor,baylor,2009.0
Big Ten,Ohio State,ohio-state,2009.0
Big Ten,Wisconsin,wisconsin,2009.0
Big East,Notre Dame,notre-dame,2009.0
Big 12,Kansas State,kansas-state,2009.0
Big Ten,Michigan,michigan,2009.0
Pac-10,Arizona,arizona,2009.0
SEC (West),Louisiana State,louisiana-state,2009.0
ACC,Miami (FL),miami-fl,2009.0
MWC,San Diego State,san-diego-state,2009.0
ACC,Florida State,florida-state,2009.0
MWC,New Mexico,new-mexico,2009.0
Big Ten,Minnesota,minnesota,2009.0
Pac-10,Washington State,washington-state,2009.0
ACC,Maryland,maryland,2009.0
Pac-10,Stanford,stanford,2009.0
Big 12,Texas A&M,texas-am,2009.0
ACC,Boston College,boston-college,2009.0
Horizon,Butler,butler,2009.0
CUSA,Alabama-Birmingham,alabama-birmingham,2009.0
SEC (West),Auburn,auburn,2009.0
WCC,Saint Mary's (CA),saint-marys-ca,2009.0
Big Ten,Penn State,penn-state,2009.0
WAC,Utah State,utah-state,2009.0
SEC (West),Mississippi State,mississippi-state,2009.0
A-10,Temple,temple,2009.0
Big 12,Nebraska,nebraska,2009.0
ACC,Virginia Tech,virginia-tech,2009.0
SEC (East),South Carolina,south-carolina,2009.0
MVC,Creighton,creighton,2009.0
MWC,Nevada-Las Vegas,nevada-las-vegas,2009.0
Big Ten,Northwestern,northwestern,2009.0
CUSA,Tulsa,tulsa,2009.0
ACC,North Carolina State,north-carolina-state,2009.0
Southern (South),Davidson,davidson,2009.0
CUSA,Houston,houston,2009.0
SEC (East),Vanderbilt,vanderbilt,2009.0
MAAC,Siena,siena,2009.0
A-10,Rhode Island,rhode-island,2009.0
Big East,Cincinnati,cincinnati,2009.0
MVC,Illinois State,illinois-state,2009.0
Big East,Providence,providence,2009.0
CAA,Virginia Commonwealth,virginia-commonwealth,2009.0
Big East,Seton Hall,seton-hall,2009.0
A-10,Dayton,dayton,2009.0
Horizon,Cleveland State,cleveland-state,2009.0
CUSA,Texas-El Paso,texas-el-paso,2009.0
Big Ten,Iowa,iowa,2009.0
MAAC,Niagara,niagara,2009.0
Summit,North Dakota State,north-dakota-state,2009.0
A-10,Duquesne,duquesne,2009.0
ACC,Virginia,virginia,2009.0
SEC (West),Mississippi,mississippi,2009.0
Horizon,Green Bay,green-bay,2009.0
MVC,Northern Iowa,northern-iowa,2009.0
ACC,Georgia Tech,georgia-tech,2009.0
SEC (West),Alabama,alabama,2009.0
Big 12,Texas Tech,texas-tech,2009.0
AEC,Vermont,vermont,2009.0
WAC,Nevada,nevada,2009.0
Big East,St. John's (NY),st-johns-ny,2009.0
Pac-10,Oregon State,oregon-state,2009.0
A-10,Saint Joseph's,saint-josephs,2009.0
SEC (West),Arkansas,arkansas,2009.0
CAA,George Mason,george-mason,2009.0
Summit,Oral Roberts,oral-roberts,2009.0
Sun Belt (East),Western Kentucky,western-kentucky,2009.0
Big 12,Iowa State,iowa-state,2009.0
A-10,La Salle,la-salle,2009.0
MAC (East),Akron,akron,2009.0
A-Sun,East Tennessee State,east-tennessee-state,2009.0
Horizon,Wright State,wright-state,2009.0
MAC (East),Miami (OH),miami-oh,2009.0
WCC,Portland,portland,2009.0
CAA,Old Dominion,old-dominion,2009.0
Ivy,Cornell,cornell,2009.0
Big West,Cal State Northridge,cal-state-northridge,2009.0
Big East,South Florida,south-florida,2009.0
A-10,Richmond,richmond,2009.0
MVC,Bradley,bradley,2009.0
WAC,New Mexico State,new-mexico-state,2009.0
MWC,Texas Christian,texas-christian,2009.0
Big West,Pacific,pacific,2009.0
MVC,Wichita State,wichita-state,2009.0
CAA,Northeastern,northeastern,2009.0
MVC,Evansville,evansville,2009.0
Summit,Oakland,oakland,2009.0
CUSA,Central Florida,central-florida,2009.0
A-Sun,Jacksonville,jacksonville,2009.0
CUSA,Southern Mississippi,southern-mississippi,2009.0
Pac-10,Oregon,oregon,2009.0
MAC (East),Buffalo,buffalo,2009.0
MVC,Drake,drake,2009.0
Big Sky,Portland State,portland-state,2009.0
Big Sky,Weber State,weber-state,2009.0
Southland (East),Stephen F. Austin,stephen-f-austin,2009.0
Big East,Rutgers,rutgers,2009.0
A-10,Saint Louis,saint-louis,2009.0
Horizon,Illinois-Chicago,illinois-chicago,2009.0
A-10,Charlotte,charlotte,2009.0
MWC,Wyoming,wyoming,2009.0
MAC (East),Kent State,kent-state,2009.0
A-10,Massachusetts,massachusetts,2009.0
A-Sun,Belmont,belmont,2009.0
MVC,Southern Illinois,southern-illinois,2009.0
CUSA,Marshall,marshall,2009.0
MAC (East),Bowling Green State,bowling-green-state,2009.0
OVC,Tennessee-Martin,tennessee-martin,2009.0
Patriot,American,american,2009.0
Big 12,Colorado,colorado,2009.0
OVC,Murray State,murray-state,2009.0
WCC,San Diego,san-diego,2009.0
Southland (West),Sam Houston State,sam-houston-state,2009.0
Horizon,Milwaukee,milwaukee,2009.0
WCC,Santa Clara,santa-clara,2009.0
WAC,Idaho,idaho,2009.0
Sun Belt (West),Arkansas-Little Rock,arkansas-little-rock,2009.0
NEC,Robert Morris,robert-morris,2009.0
CAA,Drexel,drexel,2009.0
WAC,Boise State,boise-state,2009.0
CAA,James Madison,james-madison,2009.0
Sun Belt (West),North Texas,north-texas,2009.0
MWC,Colorado State,colorado-state,2009.0
Big East,DePaul,depaul,2009.0
CUSA,Tulane,tulane,2009.0
Sun Belt (East),Middle Tennessee,middle-tennessee,2009.0
Southern (South),College of Charleston,college-of-charleston,2009.0
NEC,Mount St. Mary's,mount-st-marys,2009.0
MAC (East),Ohio,ohio,2009.0
Big West,Long Beach State,long-beach-state,2009.0
Big West,California-Santa Barbara,california-santa-barbara,2009.0
SEC (East),Georgia,georgia,2009.0
MVC,Missouri State,missouri-state,2009.0
Big Ten,Indiana,indiana,2009.0
A-10,George Washington,george-washington,2009.0
MAAC,Fairfield,fairfield,2009.0
MEAC,Morgan State,morgan-state,2009.0
Southland (West),Texas-Arlington,texas-arlington,2009.0
WAC,Louisiana Tech,louisiana-tech,2009.0
WAC,Hawaii,hawaii,2009.0
A-10,St. Bonaventure,st-bonaventure,2009.0
A-Sun,Lipscomb,lipscomb,2009.0
AEC,Boston University,boston-university,2009.0
Sun Belt (East),South Alabama,south-alabama,2009.0
MAAC,Rider,rider,2009.0
WAC,San Jose State,san-jose-state,2009.0
OVC,Eastern Kentucky,eastern-kentucky,2009.0
Summit,IUPUI,iupui,2009.0
Big Sky,Montana,montana,2009.0
MWC,Air Force,air-force,2009.0
CUSA,East Carolina,east-carolina,2009.0
Southland (East),Nicholls State,nicholls-state,2009.0
OVC,Morehead State,morehead-state,2009.0
Big Sky,Idaho State,idaho-state,2009.0
MAAC,Iona,iona,2009.0
AEC,Binghamton,binghamton,2009.0
CUSA,Southern Methodist,southern-methodist,2009.0
Big South,Virginia Military Institute,virginia-military-institute,2009.0
MVC,Indiana State,indiana-state,2009.0
CAA,Hofstra,hofstra,2009.0
Southland (West),Texas A&M-Corpus Christi,texas-am-corpus-christi,2009.0
Patriot,Holy Cross,holy-cross,2009.0
Sun Belt (East),Troy,troy,2009.0
MAAC,Manhattan,manhattan,2009.0
WAC,Fresno State,fresno-state,2009.0
Big West,California-Davis,california-davis,2009.0
OVC,Austin Peay,austin-peay,2009.0
Big West,Cal State Fullerton,cal-state-fullerton,2009.0
NEC,Sacred Heart,sacred-heart,2009.0
Horizon,Valparaiso,valparaiso,2009.0
Southern (South),Citadel,citadel,2009.0
Big South,Radford,radford,2009.0
Big Sky,Northern Colorado,northern-colorado,2009.0
Sun Belt (West),Denver,denver,2009.0
Southland (West),Texas-San Antonio,texas-san-antonio,2009.0
Southland (West),Texas State,texas-state,2009.0
AEC,Stony Brook,stony-brook,2009.0
CAA,Delaware,delaware,2009.0
Southland (West),Lamar,lamar,2009.0
CUSA,Rice,rice,2009.0
Big West,California-Riverside,california-riverside,2009.0
Horizon,Youngstown State,youngstown-state,2009.0
Patriot,Navy,navy,2009.0
Big South,Liberty,liberty,2009.0
Sun Belt (West),Arkansas State,arkansas-state,2009.0
Summit,IPFW,ipfw,2009.0
Summit,Southern Utah,southern-utah,2009.0
Southland (East),McNeese State,mcneese-state,2009.0
MAC (West),Ball State,ball-state,2009.0
Horizon,Loyola (IL),loyola-il,2009.0
MAAC,Loyola (MD),loyola-md,2009.0
MAC (West),Western Michigan,western-michigan,2009.0
Big West,California-Irvine,california-irvine,2009.0
Summit,South Dakota State,south-dakota-state,2009.0
WCC,San Francisco,san-francisco,2009.0
Ind,Chicago State,chicago-state,2009.0
CAA,William & Mary,william-mary,2009.0
SWAC,Alabama State,alabama-state,2009.0
CAA,Georgia State,georgia-state,2009.0
Big Sky,Northern Arizona,northern-arizona,2009.0
Southland (East),Southeastern Louisiana,southeastern-louisiana,2009.0
Southern (North),Chattanooga,chattanooga,2009.0
Sun Belt (West),Louisiana-Lafayette,louisiana-lafayette,2009.0
Big Sky,Montana State,montana-state,2009.0
MAAC,Canisius,canisius,2009.0
AEC,Albany (NY),albany-ny,2009.0
OVC,Tennessee Tech,tennessee-tech,2009.0
A-Sun,Stetson,stetson,2009.0
NEC,Long Island University,long-island-university,2009.0
Southern (South),Wofford,wofford,2009.0
MAC (West),Central Michigan,central-michigan,2009.0
A-Sun,Mercer,mercer,2009.0
Big Sky,Eastern Washington,eastern-washington,2009.0
Southern (North),Western Carolina,western-carolina,2009.0
MAAC,Marist,marist,2009.0
Ivy,Yale,yale,2009.0
CAA,Towson,towson,2009.0
Ivy,Harvard,harvard,2009.0
Sun Belt (East),Florida International,florida-international,2009.0
Ivy,Pennsylvania,pennsylvania,2009.0
Ivy,Princeton,princeton,2009.0
A-Sun,Campbell,campbell,2009.0
Horizon,Detroit Mercy,detroit-mercy,2009.0
OVC,Jacksonville State,jacksonville-state,2009.0
Southern (North),Samford,samford,2009.0
Patriot,Lehigh,lehigh,2009.0
Big West,Cal Poly,cal-poly,2009.0
Big South,Gardner-Webb,gardner-webb,2009.0
MAAC,Saint Peter's,saint-peters,2009.0
Southern (North),Appalachian State,appalachian-state,2009.0
Summit,Centenary (LA),centenary-la,2009.0
AEC,Maryland-Baltimore County,maryland-baltimore-county,2009.0
NEC,Quinnipiac,quinnipiac,2009.0
OVC,Eastern Illinois,eastern-illinois,2009.0
AEC,New Hampshire,new-hampshire,2009.0
SWAC,Jackson State,jackson-state,2009.0
MEAC,Coppin State,coppin-state,2009.0
Sun Belt (East),Florida Atlantic,florida-atlantic,2009.0
Sun Belt (West),New Orleans,new-orleans,2009.0
Ivy,Columbia,columbia,2009.0
MAC (West),Northern Illinois,northern-illinois,2009.0
Patriot,Army,army,2009.0
Summit,Missouri-Kansas City,missouri-kansas-city,2009.0
MEAC,South Carolina State,south-carolina-state,2009.0
NEC,Central Connecticut State,central-connecticut-state,2009.0
NEC,Wagner,wagner,2009.0
MAC (West),Toledo,toledo,2009.0
MEAC,Hampton,hampton,2009.0
OVC,Tennessee State,tennessee-state,2009.0
Summit,Western Illinois,western-illinois,2009.0
WCC,Pepperdine,pepperdine,2009.0
AEC,Maine,maine,2009.0
Big South,North Carolina-Asheville,north-carolina-asheville,2009.0
Big South,Winthrop,winthrop,2009.0
Patriot,Bucknell,bucknell,2009.0
MAC (West),Eastern Michigan,eastern-michigan,2009.0
Big South,Coastal Carolina,coastal-carolina,2009.0
Sun Belt (West),Louisiana-Monroe,louisiana-monroe,2009.0
Southern (North),Elon,elon,2009.0
Ind,Longwood,longwood,2009.0
Ivy,Brown,brown,2009.0
MEAC,Bethune-Cookman,bethune-cookman,2009.0
SWAC,Prairie View,prairie-view,2009.0
NEC,St. Francis (NY),st-francis-ny,2009.0
Ind,Savannah State,savannah-state,2009.0
MEAC,North Carolina A&T,north-carolina-at,2009.0
Big South,High Point,high-point,2009.0
AEC,Hartford,hartford,2009.0
Patriot,Colgate,colgate,2009.0
Ivy,Dartmouth,dartmouth,2009.0
MEAC,Norfolk State,norfolk-state,2009.0
Southern (South),Georgia Southern,georgia-southern,2009.0
Ind,Texas-Pan American,texas-pan-american,2009.0
CAA,North Carolina-Wilmington,north-carolina-wilmington,2009.0
Big South,Charleston Southern,charleston-southern,2009.0
Patriot,Lafayette,lafayette,2009.0
A-10,Fordham,fordham,2009.0
MEAC,Delaware State,delaware-state,2009.0
WCC,Loyola Marymount,loyola-marymount,2009.0
NEC,Monmouth,monmouth,2009.0
SWAC,Arkansas-Pine Bluff,arkansas-pine-bluff,2009.0
NEC,Saint Francis (PA),saint-francis-pa,2009.0
Southern (North),North Carolina-Greensboro,north-carolina-greensboro,2009.0
Southern (South),Furman,furman,2009.0
SWAC,Texas Southern,texas-southern,2009.0
MEAC,Howard,howard,2009.0
MEAC,Florida A&M,florida-am,2009.0
NEC,Fairleigh Dickinson,fairleigh-dickinson,2009.0
SWAC,Southern,southern,2009.0
Big Sky,Sacramento State,sacramento-state,2009.0
SWAC,Mississippi Valley State,mississippi-valley-state,2009.0
Southland (East),Northwestern State,northwestern-state,2009.0
OVC,Southeast Missouri State,southeast-missouri-state,2009.0
SWAC,Alabama A&M,alabama-am,2009.0
MEAC,Maryland-Eastern Shore,maryland-eastern-shore,2009.0
SWAC,Grambling,grambling,2009.0
SWAC,Alcorn State,alcorn-state,2009.0
ACC,Duke,duke,2010.0
Big 12,Kansas,kansas,2010.0
Big East,Syracuse,syracuse,2010.0
SEC (East),Kentucky,kentucky,2010.0
Big 12,Kansas State,kansas-state,2010.0
Big Ten,Ohio State,ohio-state,2010.0
Big East,West Virginia,west-virginia,2010.0
MWC,Brigham Young,brigham-young,2010.0
Big 12,Texas,texas,2010.0
Big 12,Baylor,baylor,2010.0
Big Ten,Wisconsin,wisconsin,2010.0
ACC,Maryland,maryland,2010.0
Big Ten,Purdue,purdue,2010.0
Big 12,Missouri,missouri,2010.0
Pac-10,California,california,2010.0
Big East,Georgetown,georgetown,2010.0
Big East,Villanova,villanova,2010.0
A-10,Xavier,xavier,2010.0
SEC (East),Tennessee,tennessee,2010.0
ACC,Clemson,clemson,2010.0
Big Ten,Minnesota,minnesota,2010.0
Pac-10,Washington,washington,2010.0
Big Ten,Michigan State,michigan-state,2010.0
Big 12,Texas A&M,texas-am,2010.0
SEC (East),Vanderbilt,vanderbilt,2010.0
Big East,Marquette,marquette,2010.0
ACC,Florida State,florida-state,2010.0
Horizon,Butler,butler,2010.0
Big East,Pittsburgh,pittsburgh,2010.0
ACC,Georgia Tech,georgia-tech,2010.0
Big East,Louisville,louisville,2010.0
Pac-10,Arizona State,arizona-state,2010.0
WAC,Utah State,utah-state,2010.0
SEC (West),Mississippi,mississippi,2010.0
WCC,Saint Mary's (CA),saint-marys-ca,2010.0
A-10,Dayton,dayton,2010.0
Big East,Notre Dame,notre-dame,2010.0
CUSA,Texas-El Paso,texas-el-paso,2010.0
MWC,Nevada-Las Vegas,nevada-las-vegas,2010.0
SEC (West),Mississippi State,mississippi-state,2010.0
Big East,Connecticut,connecticut,2010.0
MWC,New Mexico,new-mexico,2010.0
A-10,Temple,temple,2010.0
Big 12,Oklahoma State,oklahoma-state,2010.0
WCC,Gonzaga,gonzaga,2010.0
MVC,Northern Iowa,northern-iowa,2010.0
SEC (East),Florida,florida,2010.0
CUSA,Memphis,memphis,2010.0
ACC,Virginia Tech,virginia-tech,2010.0
Big Ten,Illinois,illinois,2010.0
ACC,Wake Forest,wake-forest,2010.0
CAA,Old Dominion,old-dominion,2010.0
ACC,Miami (FL),miami-fl,2010.0
MWC,San Diego State,san-diego-state,2010.0
Big East,Seton Hall,seton-hall,2010.0
SEC (West),Alabama,alabama,2010.0
CAA,Virginia Commonwealth,virginia-commonwealth,2010.0
ACC,North Carolina,north-carolina,2010.0
Big Ten,Michigan,michigan,2010.0
A-10,Richmond,richmond,2010.0
Big East,Cincinnati,cincinnati,2010.0
Big 12,Iowa State,iowa-state,2010.0
ACC,Boston College,boston-college,2010.0
CUSA,Alabama-Birmingham,alabama-birmingham,2010.0
Big East,St. John's (NY),st-johns-ny,2010.0
A-10,Rhode Island,rhode-island,2010.0
Pac-10,Southern California,southern-california,2010.0
ACC,Virginia,virginia,2010.0
Ivy,Cornell,cornell,2010.0
Big East,South Florida,south-florida,2010.0
OVC,Murray State,murray-state,2010.0
MAAC,Siena,siena,2010.0
ACC,North Carolina State,north-carolina-state,2010.0
CUSA,Tulsa,tulsa,2010.0
Big Ten,Northwestern,northwestern,2010.0
SEC (East),South Carolina,south-carolina,2010.0
MVC,Wichita State,wichita-state,2010.0
Pac-10,Arizona,arizona,2010.0
Big 12,Texas Tech,texas-tech,2010.0
CUSA,Marshall,marshall,2010.0
MVC,Missouri State,missouri-state,2010.0
SEC (East),Georgia,georgia,2010.0
Big East,Providence,providence,2010.0
Big 12,Colorado,colorado,2010.0
Horizon,Wright State,wright-state,2010.0
CUSA,Houston,houston,2010.0
Big 12,Nebraska,nebraska,2010.0
Big Ten,Penn State,penn-state,2010.0
WAC,Nevada,nevada,2010.0
CAA,Northeastern,northeastern,2010.0
WCC,Portland,portland,2010.0
Big 12,Oklahoma,oklahoma,2010.0
SEC (West),Arkansas,arkansas,2010.0
MVC,Illinois State,illinois-state,2010.0
Pac-10,Stanford,stanford,2010.0
Pac-10,UCLA,ucla,2010.0
SEC (West),Auburn,auburn,2010.0
A-10,Saint Louis,saint-louis,2010.0
Pac-10,Washington State,washington-state,2010.0
MAC (East),Kent State,kent-state,2010.0
MAC (East),Ohio,ohio,2010.0
Southern (South),Wofford,wofford,2010.0
MWC,Utah,utah,2010.0
CUSA,Southern Mississippi,southern-mississippi,2010.0
Pac-10,Oregon,oregon,2010.0
A-10,Charlotte,charlotte,2010.0
Big Sky,Montana,montana,2010.0
Pac-10,Oregon State,oregon-state,2010.0
MVC,Bradley,bradley,2010.0
Southland (West),Sam Houston State,sam-houston-state,2010.0
Big Sky,Weber State,weber-state,2010.0
MVC,Creighton,creighton,2010.0
OVC,Morehead State,morehead-state,2010.0
MVC,Southern Illinois,southern-illinois,2010.0
A-10,George Washington,george-washington,2010.0
Big West,Pacific,pacific,2010.0
WAC,Louisiana Tech,louisiana-tech,2010.0
MAC (East),Akron,akron,2010.0
CAA,William & Mary,william-mary,2010.0
CUSA,Southern Methodist,southern-methodist,2010.0
Sun Belt (East),Western Kentucky,western-kentucky,2010.0
MAAC,Iona,iona,2010.0
Big Ten,Iowa,iowa,2010.0
WAC,New Mexico State,new-mexico-state,2010.0
Big Sky,Northern Colorado,northern-colorado,2010.0
Southern (North),Appalachian State,appalachian-state,2010.0
CAA,Hofstra,hofstra,2010.0
Summit,IUPUI,iupui,2010.0
Big East,DePaul,depaul,2010.0
Ivy,Harvard,harvard,2010.0
MWC,Colorado State,colorado-state,2010.0
Horizon,Detroit Mercy,detroit-mercy,2010.0
A-Sun,Belmont,belmont,2010.0
Big East,Rutgers,rutgers,2010.0
A-10,St. Bonaventure,st-bonaventure,2010.0
Horizon,Milwaukee,milwaukee,2010.0
MVC,Indiana State,indiana-state,2010.0
SEC (West),Louisiana State,louisiana-state,2010.0
A-10,Duquesne,duquesne,2010.0
Big Ten,Indiana,indiana,2010.0
AEC,Boston University,boston-university,2010.0
Horizon,Cleveland State,cleveland-state,2010.0
MAC (East),Miami (OH),miami-oh,2010.0
MVC,Drake,drake,2010.0
MAC (West),Western Michigan,western-michigan,2010.0
MAAC,Fairfield,fairfield,2010.0
Horizon,Green Bay,green-bay,2010.0
MAAC,Niagara,niagara,2010.0
WAC,Fresno State,fresno-state,2010.0
Ivy,Princeton,princeton,2010.0
CUSA,Central Florida,central-florida,2010.0
CAA,Drexel,drexel,2010.0
Big West,California-Santa Barbara,california-santa-barbara,2010.0
WAC,Idaho,idaho,2010.0
MWC,Texas Christian,texas-christian,2010.0
A-10,La Salle,la-salle,2010.0
Big West,Long Beach State,long-beach-state,2010.0
CAA,George Mason,george-mason,2010.0
Summit,Oakland,oakland,2010.0
Big South,Coastal Carolina,coastal-carolina,2010.0
Southern (South),College of Charleston,college-of-charleston,2010.0
A-Sun,East Tennessee State,east-tennessee-state,2010.0
Summit,Oral Roberts,oral-roberts,2010.0
WAC,Boise State,boise-state,2010.0
MEAC,Morgan State,morgan-state,2010.0
Southern (North),Western Carolina,western-carolina,2010.0
AEC,Vermont,vermont,2010.0
WCC,Loyola Marymount,loyola-marymount,2010.0
A-Sun,Jacksonville,jacksonville,2010.0
A-10,Massachusetts,massachusetts,2010.0
Sun Belt (East),Middle Tennessee,middle-tennessee,2010.0
MAC (East),Buffalo,buffalo,2010.0
Southland (West),Texas A&M-Corpus Christi,texas-am-corpus-christi,2010.0
WAC,San Jose State,san-jose-state,2010.0
OVC,Eastern Kentucky,eastern-kentucky,2010.0
A-Sun,Lipscomb,lipscomb,2010.0
A-10,Saint Joseph's,saint-josephs,2010.0
Southern (South),Davidson,davidson,2010.0
Southland (East),Stephen F. Austin,stephen-f-austin,2010.0
Sun Belt (West),North Texas,north-texas,2010.0
WCC,San Diego,san-diego,2010.0
MAAC,Saint Peter's,saint-peters,2010.0
Sun Belt (West),Denver,denver,2010.0
Big West,Cal State Fullerton,cal-state-fullerton,2010.0
Southland (West),Texas-San Antonio,texas-san-antonio,2010.0
Horizon,Valparaiso,valparaiso,2010.0
Sun Belt (East),Troy,troy,2010.0
A-Sun,Campbell,campbell,2010.0
Big Sky,Montana State,montana-state,2010.0
CUSA,Tulane,tulane,2010.0
Patriot,Lehigh,lehigh,2010.0
Southern (South),Citadel,citadel,2010.0
MAC (West),Eastern Michigan,eastern-michigan,2010.0
WCC,San Francisco,san-francisco,2010.0
