class,ht,player,pos,tm_link,player_link,year
SR,79.0,Jonathan Beerbohm,F,boston-college,jonathan-beerbohm-1,2001
SO,73.0,Troy Bell,G,boston-college,troy-bell-1,2001
SO,74.0,Adam DeMong,G,boston-college,adam-demong-1,2001
SO,83.0,Andrew Dudley,C,boston-college,andrew-dudley-1,2001
SR,75.0,Nicolas Dunn,G,boston-college,nicolas-dunn-1,2001
SR,73.0,Jon Ekweozor,G,boston-college,jon-ekweozor-1,2001
FR,74.0,Ludmil Hadjisotirov,G,boston-college,ludmil-hadjisotirov-1,2001
SR,77.0,Kenny Harley,G,boston-college,kenny-harley-1,2001
JR,80.0,Brian Ross,F,boston-college,brian-ross-2,2001
FR,74.0,Ryan Sidney,G,boston-college,ryan-sidney-1,2001
SR,78.0,Xavier Singletary,G,boston-college,xavier-singletary-1,2001
JR,77.0,Kenny Walls,F,boston-college,kenny-walls-1,2001
SO,74.0,Tom Coverdale,G,indiana,tom-coverdale-1,2001
JR,76.0,Dane Fife,G,indiana,dane-fife-1,2001
JR,81.0,Kirk Haston,C,indiana,kirk-haston-1,2001
SO,77.0,Kyle Hornsby,G,indiana,kyle-hornsby-1,2001
FR,83.0,Jared Jeffries,F,indiana,jared-jeffries-1,2001
FR,83.0,George Leach,C,indiana,george-leach-1,2001
FR,75.0,A.J. Moye,G,indiana,aj-moye-1,2001
SO,81.0,Jeff Newton,F,indiana,jeff-newton-1,2001
JR,80.0,Jarrad Odle,F,indiana,jarrad-odle-1,2001
FR,76.0,Andre Owens,G,indiana,andre-owens-1,2001
FR,81.0,Mike Roberts,F,indiana,mike-roberts-1,2001
SR,74.0,Ryan Bailey,G,ucla,ryan-bailey-1,2001
JR,79.0,Matt Barnes,F,ucla,matt-barnes-1,2001
FR,82.0,T.J. Cummings,F,ucla,tj-cummings-1,2001
SR,,Jason Flowers,G,ucla,jason-flowers-2,2001
JR,83.0,Dan Gadzuric,C,ucla,dan-gadzuric-1,2001
SO,80.0,Jason Kapono,F,ucla,jason-kapono-1,2001
JR,78.0,Billy Knight,F,ucla,billy-knight-2,2001
FR,,Ryan Mollins,G,ucla,ryan-mollins-1,2001
SO,,Sam Nelson,G,ucla,sam-nelson-1,2001
JR,77.0,Todd Ramasar,G,ucla,todd-ramasar-1,2001
FR,75.0,Janou Rubin,G,ucla,janou-rubin-1,2001
SR,73.0,Earl Watson,G,ucla,earl-watson-1,2001
JR,76.0,Ray Young,G,ucla,ray-young-1,2001
